MarketingSegments,MarketingSegments2,MarketingSegments3,CalendarDateColumn,Leads,Temp
A,a,x,2018-01-01,320.923233684152,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-02,472.645879723132,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-03,205.589123722166,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-04,192.096884641796,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-05,343.898078519851,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-06,174.319973401725,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-07,158.404069766402,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-08,240.953345503658,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-09,476.268712896854,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-10,384.685205481946,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-11,286.35901324451,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-12,483.863905631006,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-13,336.475493013859,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-14,420.219648908824,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-15,487.753862608224,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-16,451.682987529784,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-17,393.511865288019,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-18,209.205423668027,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-19,432.491161487997,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-20,274.606200307608,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-21,249.323445186019,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-22,205.21494038403,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-23,266.385041736066,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-24,234.539521299303,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-25,157.598849013448,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-26,307.113528531045,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-27,401.020467374474,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-28,318.571581598371,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-29,305.212215241045,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-30,211.819607205689,2021-12-22T04:41:27.012024Z
A,a,x,2018-01-31,495.235086046159,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-01,491.723320540041,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-02,273.854326456785,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-03,372.673403471708,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-04,107.672668714076,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-05,329.851717315614,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-06,192.52513339743,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-07,494.272830430418,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-08,339.833693392575,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-09,317.146205808967,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-10,106.650267634541,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-11,252.06331461668,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-12,211.556329857558,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-13,430.802880134434,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-14,110.377742536366,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-15,480.921851843596,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-16,441.271665785462,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-17,134.62317911908,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-18,169.557704403996,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-19,295.117015298456,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-20,418.499295040965,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-21,244.644513353705,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-22,173.924587666988,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-23,485.15841756016,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-24,348.480669874698,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-25,204.490572679788,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-26,263.082518149167,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-27,266.570268850774,2021-12-22T04:41:27.012024Z
A,a,x,2018-02-28,152.571047469974,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-01,482.463070657104,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-02,134.256439376622,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-03,433.187609352171,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-04,478.751731757075,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-05,449.218303710222,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-06,154.240429122001,2021-12-22T04:41:27.012024Z
A,a,x,2018-03-07,454.977160412818,2021-12-22T04:41:27.012024Z
