ticker,name,primary_exchange,type,last_updated_utc
A,Agilent Technologies Inc.,XNYS,CS,2022-05-19T00:00:00Z
AA,Alcoa Corporation,XNYS,CS,2022-05-19T00:00:00Z
AAA,AAF First Priority CLO Bond ETF,ARCX,ETF,2022-05-19T00:00:00Z
AAAU,Goldman Sachs Physical Gold ETF Shares,BATS,ETF,2022-05-19T00:00:00Z
AAC,Ares Acquisition Corporation,XNYS,CS,2022-05-19T00:00:00Z
AAC.U,"Ares Acquisition Corporation Units, each consisting of one Class A ordinary share, and one-fifth of",XNYS,UNIT,2022-05-19T00:00:00Z
AAC.WS,"Ares Acquisition Corporation Redeemable Warrants, each whole warrant exercisable for one Class A ord",XNYS,WARRANT,2022-05-19T00:00:00Z
AACG,ATA Creativity Global American Depositary Shares,XNAS,ADRC,2022-05-19T00:00:00Z
AACI,Armada Acquisition Corp. I Common Stock,XNAS,CS,2022-05-19T00:00:00Z
AACIU,Armada Acquisition Corp. I Unit,XNAS,UNIT,2022-05-19T00:00:00Z
AACIW,Armada Acquisition Corp. I Warrant,XNAS,WARRANT,2022-05-19T00:00:00Z
AADI,"Aadi Bioscience, Inc. Common Stock",XNAS,CS,2022-05-19T00:00:00Z
AADR,AdvisorShares Dorsey Wright ADR ETF,XNAS,ETF,2022-05-19T00:00:00Z
AAIC,Arlington Asset Investment Corp.,XNYS,CS,2022-05-19T00:00:00Z
AAICpB,Arlington Asset Investment Corp. 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,XNYS,PFD,2022-05-19T00:00:00Z
AAICpC,Arlington Asset Investment Corp. 8.250% Series C Fixed-to-Floating Rate Cumulative Redeemable Prefer,XNYS,PFD,2022-05-19T00:00:00Z
AAIN,Arlington Asset Investment Corp. 6.000% Senior Notes Due 2026,XNYS,,2022-05-19T00:00:00Z
AAL,American Airlines Group Inc.,XNAS,CS,2022-05-19T00:00:00Z
AAMC,Altisource Asset Mgmt Corp,XASE,CS,2022-05-19T00:00:00Z
AAME,Atlantic American Corp,XNAS,CS,2022-05-19T00:00:00Z
AAMpA,"Apollo Asset Management, Inc. 6.375% Series A Preferred Stock",XNYS,PFD,2022-05-19T00:00:00Z
AAMpB,"Apollo Asset Management, Inc. 6.375% Series B Preferred Stock",XNYS,PFD,2022-05-19T00:00:00Z
AAN,"The Aaron's Company, Inc.",XNYS,CS,2022-05-19T00:00:00Z
AAOI,"Applied Optoelectronics, Inc.",XNAS,CS,2022-05-19T00:00:00Z
AAON,Aaon Inc,XNAS,CS,2022-05-19T00:00:00Z
AAP,ADVANCE AUTO PARTS INC,XNYS,CS,2022-05-19T00:00:00Z
AAPL,Apple Inc.,XNAS,CS,2022-05-19T00:00:00Z
AAQC,Accelerate Acquisition Corp.,XNYS,CS,2022-05-19T00:00:00Z
AAQC.U,"Accelerate Acquisition Corp. Units, each consisting of one Class A common stock, and one-third of on",XNYS,UNIT,2022-05-19T00:00:00Z
AAQC.WS,"Accelerate Acquisition Corp. Warrants, each whole warrant exercisable for one share of Class A commo",XNYS,WARRANT,2022-05-19T00:00:00Z
AAT,"AMERICAN ASSETS TRUST, INC.",XNYS,CS,2022-05-19T00:00:00Z
AATC,Autoscope Technologies Corporation Common Stock,XNAS,CS,2022-05-19T00:00:00Z
AAU,Almaden Minerals Ltd.,XASE,CS,2022-05-19T00:00:00Z
AAWW,"Atlas Air Worldwide Holdings, Inc.",XNAS,CS,2022-05-19T00:00:00Z
AAXJ,iShares MSCI All Country Asia ex Japan ETF,XNAS,ETF,2022-05-19T00:00:00Z
AB,"AllianceBernstein Holding, L.P.",XNYS,CS,2022-05-19T00:00:00Z
ABB,ABB Ltd.,XNYS,ADRC,2022-05-19T00:00:00Z
ABBV,ABBVIE INC.,XNYS,CS,2022-05-19T00:00:00Z
ABC,AmerisourceBergen Corp.,XNYS,CS,2022-05-19T00:00:00Z
ABCB,Ameris Bancorp,XNAS,CS,2022-05-19T00:00:00Z
ABCL,AbCellera Biologics Inc. Common Shares,XNAS,CS,2022-05-19T00:00:00Z
ABCM,Abcam plc American Depositary Shares,XNAS,ADRC,2022-05-19T00:00:00Z
ABEO,Abeona Therapeutics Inc. Common Stock,XNAS,CS,2022-05-19T00:00:00Z
ABEQ,Absolute Core Strategy ETF,ARCX,ETF,2022-05-19T00:00:00Z
ABEV,AMBEV S.A.,XNYS,ADRC,2022-05-19T00:00:00Z
