Date,Weekly_Sales
2010-02-05,50605.27
2010-02-12,44682.74
2010-02-19,47928.89
2010-02-26,44292.87
2010-03-05,48397.98
2010-03-12,43751.94
2010-03-19,43615.49
2010-03-26,41892.55
2010-04-02,47450.5
2010-04-09,46549.73
2010-04-16,45025.02
2010-04-23,44418.11
2010-04-30,45971.3
2010-05-07,47903.01
2010-05-14,43675.61
2010-05-21,44319.15
2010-05-28,44619.52
2010-06-04,48754.47
2010-06-11,47089.54
2010-06-18,44428.71
2010-06-25,45299.92
2010-07-02,47077.72
2010-07-09,46752.12
2010-07-16,44339.2
2010-07-23,44763.33
2010-07-30,45833.77
2010-08-06,50031.73
2010-08-13,45475.69
2010-08-20,49754.17
2010-08-27,49623.53
2010-09-03,49015.05
2010-09-10,45182.5
2010-09-17,44681.64
2010-09-24,42477.49
2010-10-01,45829.02
2010-10-08,46387.54
2010-10-15,43110.79
2010-10-22,42371.48
2010-10-29,44081.33
2010-11-05,46381.43
2010-11-12,43194.49
2010-11-19,41443.25
2010-11-26,45681.98
2010-12-03,44405.02
2010-12-10,46955.82
2010-12-17,49303.28
2010-12-24,59889.32
2010-12-31,35819.83
2011-01-07,43202.29
2011-01-14,39857.4
2011-01-21,41596.99
2011-01-28,41651.01
2011-02-04,46829.12
2011-02-11,47595.35
2011-02-18,49202.06
2011-02-25,46165.25
2011-03-04,53035.54
2011-03-11,48465.72
2011-03-18,45222.3
2011-03-25,44293.54
2011-04-01,46991.58
2011-04-08,48501.79
2011-04-15,44464.74
2011-04-22,46544.56
2011-04-29,43682.41
2011-05-06,50139.92
2011-05-13,44274.15
2011-05-20,44302.11
2011-05-27,45072.11
2011-06-03,47844.27
2011-06-10,46363.93
2011-06-17,42939.63
2011-06-24,42415.81
2011-07-01,45247.74
2011-07-08,44623.23
2011-07-15,43260.96
2011-07-22,45113.56
2011-07-29,43191.02
2011-08-05,49359.75
2011-08-12,45341.92
2011-08-19,46391.12
2011-08-26,47659.93
2011-09-02,49419.75
2011-09-09,43315.85
2011-09-16,42963.96
2011-09-23,43390.94
2011-09-30,46045.09
2011-10-07,49880.69
2011-10-14,43306.38
2011-10-21,42487.67
2011-10-28,41682.4
2011-11-04,47313.62
2011-11-11,44936.47
2011-11-18,43997.78
2011-11-25,44259.59
2011-12-02,45928.14
2011-12-09,49357.43
2011-12-16,51137.42
2011-12-23,65615.36
2011-12-30,43539.94
2012-01-06,44481.38
2012-01-13,43353.09
2012-01-20,43753.43
2012-01-27,41556.23
2012-02-03,54322.24
2012-02-10,50581.06
2012-02-17,46085.47
2012-02-24,47080.12
2012-03-02,52608.51
2012-03-09,48563.69
2012-03-16,47346.32
2012-03-23,44796.03
2012-03-30,46529.68
2012-04-06,51805.88
2012-04-13,43991.18
2012-04-20,45561.85
2012-04-27,45456.23
2012-05-04,50501.3
2012-05-11,46717.76
2012-05-18,44411.23
2012-05-25,45817.07
2012-06-01,47425.29
2012-06-08,49439.58
2012-06-15,46637.48
2012-06-22,46075
2012-06-29,47629.14
2012-07-06,49771.92
2012-07-13,44411.95
2012-07-20,45108.22
2012-07-27,45008.22
2012-08-03,49424.06
2012-08-10,46729.91
2012-08-17,46350.97
2012-08-24,44972.52
2012-08-31,50995.5
2012-09-07,47344.5
2012-09-14,44493.61
2012-09-21,43541.07
2012-09-28,45784.76
2012-10-05,48577.08
2012-10-12,42112.67
2012-10-19,42354.72
2012-10-26,43134.88
